name,description
Bugsy K Ravbitz,
Bugsy or Bugsie,
BugsyJo,
Bugzy,
Buhda,
Bullet,
Bullwinkle,
Bully,
Bumble,
Bumblebee,
Bumper,
Bumper Bunny,
Bun,
Bun Bun,
Bun Buns,
Bun E. Carlos,
Bun Franklin,
Bun Tzu,Bun Tse
Bun W.,
BunBun,
Bun-Bun,
Bunddhartha,
Bundle,
Bundy,
Bune River,
Bunfucius,
Bungee,
Bungie,
Bungle,
Bunita Bunzalez,Bun for short
Bunjamin,
Bunjamino,
Bunkins,
Bunky,
Bunna,
Bunneton,
Bunnicula,
Bunnie Wabbit,
Bunnilla Ice,Chill
BunniLuv,
Bunny,
Bunny Bunny Pumpkin Head,
Bunny Face,
Bunny Foo Foo,
Bunny Girl,
Bunny Goodman,
Bunny Hendrix,
Bunny Hill,
Bunny Holly,
Bunny Joe Hazlehead,
Bunny Kitten,
Bunny Lulu,
Bunny O’Hare,
Bunny One,
Bunny Siegel,
Bunny Two,
Bunnybee,
Bunny-Bo,
Bunnyhops,
Bunnykin,
Bunnyta!,"spanish for beautiful but different spelling	"
Buns,
Bunty,
Buñuelo,
Bunyella,
Bunyip,
Bunza el Din,
Bunzilla,
Burl,
Burleigh Harwood,
Burroughs Deeply Underhay,
Burt,
Burton,
Busby,
Buster,
Busy Lizzie,
Butch,
Butler,
Butter Bean,
Butterball,
Buttercup,
Butterfinger,
Butterknife,
Butternut,
Butterscotch,
Button,
Buttons,
Buun de Hoop Scheffer,
Buwale,
Buzz,
Buzzerk,
Buzzy,
Bya,
C.J.,
C.K.,
Cabbage,
Cabo,
Caboose,
Cadance,
Cadburry,
Cadbury,
Caesar,
Caesar Valentines Delight,
Cagney,
Cairo,
Caitlin,
Calamity Jane,
Calculus,
Cale,
Calhua,
Cali,
Calibra,
Calico,
Callie,
Calliope,
Calpurnia,
Calvein,
Calvin,
Calypso,
Camelot,
Cameo Beta Quits,
Cameron,
Cami,
Camilla,
Camille,
Camillino,
Camillo,
Camomile,
Camouflage,
Campion,
Camron,
Candace,
Candy,
Candy Cane,
Candy Corn,
Cannelle,
Cannit,
Cannoli,
Canon,
Caper,
Cappuccino,
Capri,
Captain,
Captain Cuddles,
Captain San Sparrow,
Capucine,
Cara,
Caramac,
Caramel,
Caramel Chocolate Dream,
Carbonal,
Caribou,
Carl,
Carley,
Carly,
Carmel,
Carolina,
Caroline,
Carp,
Carress,
Carrie-Anne,
Carrot,
Carrot Cake,
Carrots the Bunny,
Carson,
Carter,
Cartman,
Cartoonie,
Casanova,
Casasha,
Casey,
Casey Moon,
Cash,
Cashew,
Cashmere,
Cashmere Eddie,
Caspara,
Casper,
Cass,
Cassidy,
Cassie,"“Cass”, short for Casserole"
Castor,
Cat,
Catchme,
Cavalier,
CC,
Cecil,
Cecile,
Cecilia,
Cedar,
Cedric,
Celeste,
Celestial,
Celestine,
Celine,
Centerline,
Centinela,
Ceri,
Ceyna,
CH Sherlock Holmes de Lansor,
Cha Cha,
Chachi,
Chad,
Chalet,
Chaley,
Chalmer,
Champ,
Champagne,
Champagne Charlie,
Champion,
Chance,
Chances Elenor,
Chancey,
Chancy,
Chandi,
Chandler,
Chandon,
Chanel,
Chanele,Nelly
Chantal,
Chantilly Lace,
Chaos,
Chaps,
Charcoal,Cole
Charcoal Jackson,CJ
Charity,
Charles,
Charley,
Charley Bunnifred Nubble,
Charlie,
Charlie Brown,
Charlie Bunnet,
Charlie Fru Fru,
Charligh,
Charlituna III,
Charlotte,
Charmin,
Charmine,
Charming,
Chase,
Chaser,
Chastity,
Chateau,
Chauncey,
Chauntel,
Chaz,
Che Che,
Checkers,
Cheddar,
Cheeko,
Cheeky,
Cheers,
Cheetara,
Chef,
Chelsea,
Chelsea Bun,
Chelsey,
Chelsey Belle,
Chenille,
Chenna,
Cher,
Cherie,
Cherish,
Cherrie,
Cherry,
Cherubim,
Chervil,
Chesapeake,
Cheshire,
Chesley and Tiger,
Chesney,
Chessa,
Chessie,
Chesswood,
Chester,
Chester Carmichael,
Chester Wayne Hotrum,
Chesterfield,
Chesterita,
Chestnut,
Chevez,
Chevy,
Chewbacca,
Chewer,
Chewy,
Cheyana,
Cheyenne,
Chi-Anna,
Chianti,
Chibi,
Chica,
Chick,
Chickeeta,
Chickpea,
Chico,
Chicory,
Chief,
Chief Bear,
Chiffon,
Chigger,
Chiko,
Chili,
Chilly,
Chimo,
China,
Chino,
Chinook,
Chip,
Chipie,
Chipper,
Chips,
Chiquita,
Chirio,
Chirpy,
Chita,
Chloe,
Chobi,
Choco,
Chocolate,
Chocolate Bar,
Chocolate Chip,
Chocolate Moose,
Choco-paws,
Cholmondley,
Chompi,
Chopin,
Chopper,
Choux Bun,
Chowder,
Chrissie,
Chrissy,
Christian,
Christmas,
Christmas Sunday,
Christofur,
Christopher,
Chub Chub,
Chubby,
Chub-chub,
Chuck,
Chuck Berry,
Chuckie,
Chucky,
Chuffy,
Chum,
Chum Chum,
Chunk,
Church,
Churchill,Church
Chuubi,
Cicely,
Cider,
Cilla the Chinchilla,
Cinder,
Cinderella,
Cinders,
Cindi Hopper,
Cindi Lopper,
Cindy,
Cindy Lop-ear,
Cinna Bun,
Cinnabar,
Cinnabun,
Cinnamon,
Cinnamon Bun,
Cinnamon Oatmeal and Raisin,
Cinnimon Bun,
Cinnimon Stick,
Ciro,
Cirrus,
Citron,
Citrus,
CJ,
Clairie,
Clark,
Classy,
Claude,
Clawdete,
Clawdia,
Clawdine,
Clawdius,
Claws,
Claymore,
Clementine,
Cleo,
Cleo-bell,
Cleopatra,
Cliff,
Clinton,
Clipper,
Clive,
Cloe,
Clogs,
Cloie,
Cloud,
Cloudia,
Cloudy,
Clover,
Clyde,
Coach,
Coal,
Coalie,
Coby,
Coca,
Coco,
Coco Jumeau,
Cocoa,
Cocoa Bean,
CocoaBean,
Cocoanut,
Coconut,
Codi,
Cody,
Coffee,
Coffee Bean,
Cohl,
Coin,
Coinin,Irish for Rabbit
Cola,
Colbalt,
Colby,
Colin,
Colonel,
Colonel Fuzzman,
Coltrane,
Comanche,
Comet,
Commander,
Commander Bun-Bun,
Conaign,
Conan,
Conchetta,
Conchita,
Coney,
Confetti,
Connie,
Connor,
Conor,
Conptessa,
Control,
Coochie,
Cookie,
Cookies N Cream,
Cookstofer Columbus,
Cooney,
Cooper,
Cooter,
Copey,
Coppedge,
copper,
Coral,
Corbin,
Corbn,
Cordelia,
Cordell,
Corey,
Coriander,
Corky,
Corncob,
Cornelius,
Cornflake,
Cornflower,
Cornielia Marie,
Cory,
Cosby,
Cosette,
Cosmo,
Cosmo Kramer,
Cosy,
Cotton,
Cotton Candy,
Cottonball,
Cottonbud,
Cottontail,
Cottontip,
Cougar,
Courage,
Courgette,
Cow,
Cow Bunny,
Cowbelle,
Cowboy,
Cowslip,
Coyote,
Cpt. Alexander Beardsley Mullins,
Cracker,
Cracker Jack,
Crackerjax,
Crackle,
Cranberry,
Crayon,
Crazy,
Crazy Horse,
Crazy Rabbit,
Cream,
Creampuff,
Credit,
Cricket,
Crispin,
Crispy Creme,
Critter,
Crochet,
Crocodile Bundee,
Crombie,
Cruiser,
Crumpet,
Crunch,
Crunchie,
Crusoe,
Crystal,
Csikasz,
Cubbie,
Cubby,
Cucciolo,"Italian, “puppy” or “cub”; m."
Cuddles,
Cuddly,
Cui,
Cupcake,
Cupid,
Cuppie,
Cuppie Girl,
Curious George,
Curley,
Curly-La-Pig,
Currant,
Currant Bun,
Curtis,
Custard,
Cuthbert,
Cutie,
Cutie Agouti,
Cutie Pie,
Cutiepie,
Cyclone,
Cyrus,
Daffine,
Daffodil,
Daffy,
Dahlia,
Daintylady,
Dairy,
Daisy,
Daisy Dumpling,
Daisy Mae,
Daisy Mae/May,
Daken,
Dakota,
Dalai Lulu,
Dale,
Dallas,
Dallie,
Dally,
Damia,
Damian,
Damon,
Danaijia,
Dancer,
Dandelion,
Dandelion Joe,
Dandie,
Dandy,
Dandy Lion,
Danerys,Danny
Daniel,
Daniel Bune,
Danielle,
Dank,
Danni,
Danny,
DanShea,
Dante,
Dantie,
Daphne,
Dapper,
Dapple,
Dar,
Darby,
Darcy,
Dariq,
Darius,
Darla,
D'Artagnan,
Darth,
Darth Vador,
Darwin,
Dash,
Dasher,
Data,
Dave,Davey
David B.,
David Hasselhop,
DaVinci,
Dawg,
Dawson,
Daylily,
Daz Janay,
Dazzle,
Dean,
Debbie,
Decibel,
Decker,
Deduct,
Dee,
Dee Dee,
Deefer,
Deja Vu,
Del Ray,
Delia,
Delilah,Lilah for short
Della,
Dellight,
Delta,
Delwen,
Demi,
Dennis,
Dennis Hopper,
Denny,
Denzel,
Denzil,
Der Fluffenheiny,
Derby,
Dermot,
Derringer,
Des Za Rae,
Desari,
Desire,
Desmond,
Desmond Toto,
Desmond Tutu,
Desoto,
Destiny,
Devale,
Devil Bunny,
Devin,
Devine,
Dewdrop,
Dewey,
Dexter,
Dezi,
Dezmond Boom Feathers,
Dharma,
Diablo,
Diamante,
Diamond,
Diamonds Dazzlin' Daizy,
Diana,
Dib,
Dibley,
Didi,
Diego,
Diesel,
Dig it,
Digby,
Digger,
Diggit,
Diggory,
Dilbert,
Dill,
Dillawar,
Dillon,
Dillon Poop,aka “Poopie Monster”
Dilly,
Dilly Dally,
Dime,
Dimples,
Dinah,
Ding Dong Buns,
Dinka,
Dinky,
Dinner,
Dino,
Dion,
Dipsy,
Disco,
Disney,
Ditter,
Dittle One,
Ditto,
Divinity,
Dixie,
Dixie Chick,
Dizzy,
Dizzy Gizzy,
Dobedoo,
Doby,
Doc,
Dodge,
Dodger,
Doeder,
D-O-G,
Dolby,
Dolce,
Dolcetto/Dolcettino,"Italian, “sweetheart”; m."
Dolittle,
Dollar,
Dolly,
DoMajour,
Domingo,
Dominic,
Domino,
Domino Confetti,
Dominoe,
Donald,
Dongle,
Donny,
Donovan,
Dooby,
Doodles,
Doogie,
Dookie,
Doowop,
Dopey,
Dora,
Dorian,Grey
Doris,
Dorito,
Dorothy,
Dot,Dots
Dottie,
Dotty,
Dotz,
Double,
Doublestuf,
Doug,
Dougal,
Douglas,
Dove,
Downy,Downey
Doyle,
Dr. Bunny,
Dr. Greenthumbs,
Dr. Spock,
Dr. Suess,
Draco,
Dream,
Dreamer,
Dreamin,
Dreamy,
Drew,
Drifter,
Drizzle,
Drizzly,
Droopy,
Droplet,
Dropsy,
Drummer,
Drusilla,
Duante,
Dublin,
Dubonnet,
Duchess,
Duchess Buttercup,
DuckieSue,
Ducky,
Dud,
Duddles,
Dude,
Dudley,
Duffer,
Duffle,
Duffy,
Duke,
Dulcet,
Dulcie,
Dumas,
Dumbo,
Dumpling,
Dumpty,
Duncan,
Dundee,
Dunkin,
Dusky,
Dustbunny,
Duster,
Dusti,
Dustin,
Dustin Hoppin,
Dusty,
Dusty Rusty,
Dutch,
Dutchboy,
Dutchess,
Dutchie,
Dutchies,
Dylan,
Dyna,
Dynamo,
Earnhardt,
Earwig,
Easter Bunny,
Easter Joy,
Easy Tempo,aka “E.T.”
Ebony,
Ebony Moon,
Ebunny,
Eccles,
Echo,
Eclair,
Eclipse,The Bun Nikita
Eclypse,
Ed,
"Ed, Audrey, Westley",
Eddie,
Eddie Angora,
Eddy,
Edie G.,Grace
Edward,
Edward J.,Joseph
Edwina,
Eeyore,
Eezy,
Egbert,
Egg,
Eighty Eight,
Einstein,
Eisenhower,
El Camaro,
El-ahrairah,
Elantra,
Elderberry,
Eleanor,
Electra,
Eleni,
Elephant,
Elfie,
Eli,
Elias,
Elivs,
Elizabeth,
Ella,
Ellen,
Ellie,
Elliot,
Elliott,
Elmer,
Elmo,
Eloise,
Elroy,
Elsa,
Elsie,
Elton,
Elvira,
Elvis,
Elvis Parsley,
Elwood,
Ely,
Ember,
Emerson,
Emilio,
Emily,
Emma,
Emmet,
Emmi,
Emmit,
Emmitt,
Emmy,
Emmy Garnet,
Emory,
Empire,
Energizer Bunny,
Enigma,
Enk,
Enola Baby,
Enuff,
Envey,
Enya,
Enyalaya,
Enzo,
Eric,
Erik,
Erin,
Ernest,
Ernestino,
Ernie,
Esme,
Espresso,
Esquilax,
Essie,
Esther,
Esther Bunny,
Ethel,
Etoile,
Eugenie,
Eva,
Eve,
Everafter,
Everready,
Evl,
Ewok,
Excite,
Exel,
Exkimo,
Ezri,
Fabian,
Fabio,
Fairlane,
Fairy Cake,
Faisal,
Faith,
Fakewich,
Fancy,
Fancyfree,
Fang,
Fantasia,
Fantasy,
Farah,
Farhad,Persian for “happiness”
Farley,
Fast Eddie,
Fast Freddie,
Fatal,
Fatboy,
FatCat,
FatRat,
Fats,
Fattie,GusGus
Fatty,
Faye Bunaway,
Feather,
Feathers,
Featherston,
Feedback,
Feisty Bunny,
Felicity,
Felix,
Fella,
Feller,
Felony,
Femke,
Fennel,
Ferdy,
Fergie,
Fergus,
Fern,
Ferrano,
Fetch,
Fever,
Feya,
Fidget,
Fido,
Fiesta,
Fieval,
Fifi,
Fig,
Figaro,
Figment,
Fila,
Filbert,
Filly,
Finesse,
Finious Thompkin MacGregor,
Finlay,
Finn,
Finnbar,
Finnegan,
Finnigan,
Fiona,
Fionnula,
Firecracker,
Firey-Birey,Firey
Fisher,
Fish-fish,Fishy
Fishy,
Fitch,
Fiver,
Fizz,Buck & Fizz
Flair,
Flakey,
Flam,Flaminia
Flamingo,
Flannel,
Flap,
Flapjack,
Flapper,
Flash,
Flash Gordon,
Flashy,
Flat Eric,
Flea,
Fleabag,
Fleming,
Fletch,
Fletcher,
Fleur,
Fleurs,
Flick,
Flicker,
Flip,
Flip flop,
Flip-Flop,
Flipper,
Flippy,
Flo,
Floortje,f.
Floperella,
Floppssy,
Floppy,
Floppy Puff Puff,
Flopsy,
Flopsy Eve,
Flopsy Hare,
Flora,
Florentin,
Floris,m.
Floss,
Flossie,
Flossy,
Flotty,
Flounder,
Flower,
Floyd,
Fluff,
Fluffball,
Fluffbum,
Fluffernutter,
Fluff-Fiver-Fonteyn,
Fluffy,
Fluffy Bum,
Fluffy Cake,
Fluffy Girl,
Fluffy Jane,
Flurry,
Fly,
Flynn,
Foggy,
Fold,
Follyfoot,
Fomsey,
Fonzie,
Foo Bar,
Foo Foo,
Foo-Foo,
Footloose,
Forest Jump,
Forget-Me-Not,
Fortune,
Foxi,
Foxy,
Foxygirl,
Foxylady,
Fracas,
Fraidy,
Francine,
Francis,
Frankenstein,
Frankie,
Franklin,
Frannie,
Frapppacinno,
Fraser,Frasier
Freckles,
Fred,
Freddie,
Freddie Astaire,
Freddy,
Freddy Mac,
Freedom,
Freelander,
Freeway,
Freeze,
Frenchie,
Fresca,
Freya,
Friday,
Friend,
Friend Bunny,Bunny Friend
Frijole Negro,
Frisbee,
Frisco,
Frisky,
Fritz,
Frizzle,
Frodo,
Frog,
Frolic,
Fronsay,
Frostbite,
Frosty,
Frothy,
Froto,
Fruitcake,
Fruity,
Fu Manchu,
Fuchsia,
Fudge,
Fudge Drop,
Fuffy,
Fugalee,
Funny Bunny,
Funnygirl,
Funnylady,
Fur Elise,
Furbaby,
Furball,
Furby,
Furey,
Furity,
Furrgy,
Furry,
Furry Elise,
Fusilli,
Fussy,
Fuzz,
"Fuzz Bucket, the Bunny of Doom",
Fuzzbutt,
Fuzzette,
Fuzzle,
Fuzzy,
Fuzzy Face,
Fuzzy or The Fuzz,
Fuzzy Wuzzy,
Fuzzybutt,
Fuzzypeg,
Gabarella,
Gabbie,
Gabby,
Gabe,
Gabie,
Gabriel,
Ga'Day,
Gadgit,
Gage,
Galahad,
Galaxy,
Gambler,
Gamma,
Gammon,
Gandalf,
Gandolph,
Garbo,
Gareth,
Garfield,
Garnet,
Garrett,
Garth,
Gaspard,
Gator,
Gator Bait,
Gayka,
Gazeebo,
G'Day,
Gee-Gee,
Gem,
Gemini,
Gemma,
Gentry,
George,
George Thurston Fluffybum,Fluffybum
Georgeanne,
Georgette,
Georgia,
Georgina,
Geppers,
Gerald,
Geraldine,
Geri Lea,
Geronimo,
Gershwin,
Gertie,
Ghengis Bhun,
Ghiradelli,
Ghost,
Gia,
Gian,
Giannetta,
Gianni,
Gibby,
Gideon,
Gidget,
Gieger,
Giggs,
Gigi,
Gilbert,
Gilbert Grape,
Gilligan,Gilly for short
Gilly,
Gimley,
Gimpy Bun,
Gin,
Ginger,
Ginny,
Gino,
Ginseng,
Giorgio,
Gipsy,
Gir,
Girlie,
Giro,
Giselle,
Giuseppe,
Gizmo,
Gizzy,
Glasha,
Glen,
Glitter,
Glory,
Gobbolino,
God,
Godiva,
Godzilla,
Goldie,
Goldy,
Goliath,
Golly,
Gomer,
Gonzo,
Goober,
Goodbye,
Goody Two-Shoes,
Goofy,
Gordon,
Gordy,
Goro,
Gossip,
Gotcha,
Gothica,
Goya,
G-P,
Grabbit,
Grace,
Gracie,
Gracie Anne,
Gracie Defusco,
Gracie Jewelanne,
Gracie Lou,
Gracie Lu,
Gracie Lu DeFusco,
Grady,
Grand,
Grandberry,
Grandma,G-ma
Granola,Nola
Grant,
Granville,
Grasshopper,
Gravy,
Gray,
Gray Lady,
Gray Slick,
Greenleigh,
Gregori,
Gregorio Bunderhedge,
Gregory,
Greippi,
Gremlin,
Grenchin,
Grendal,
Greta,
Gretchen,
Gretchen vom Buchstrand,
GreyFire,
Gricik,
Griffin,
Grizzly,
Gromit,
GrossDex,
Groucho,
GRUB,
Grumblebunny,
Gsxr,
GT,George the 2nd
Guacamole,
Guapa,"Spanish, “beautiful”; f."
Guapo,"Spanish, “beautiful”; m."
Guatama Bundha,
Gucci,
Guenever,
Guffy,
Guido,
Guinness,
Gumby,
Gumdrop,
Gump,
Gunter,
Guppy,
Gus,
Gusto,
Guy,
Gwai Gwai,"Mandarin, “good good”"
Gweeby,
Gwendolyn,
Gwendy,
Gweneth,
Gwynedd,
Gwyneth,
Gypsy,
Hagar,
Hailey,
Hairy Hopper,
Haize,
Hakima,
Halen,
Haley,
Half & Half,
Half Pint,
Halle,
Halleberry,
Halloween,
Halston,
Hambone,
Hamilton,
Hamish,
Hamlet,
Hamsmith,
Hamza el Bun,
Handy Andy,
Hank,
Hanna Banana Hannah Pyran,
Hannah,
Hannah-Belle,
Hannibal,
Hans,
Happy,
Happynose,
Harding,
Hare Kiri,
Hare Krishna,
Hare Rama,
Harebell,
Harlequin,
Harley,
Harley Quinn,Harls
Harli,
Harlowe,
Harmaa,
