Color,RGB,R,G,B
Sienna,A0522D,160,82,45
Purple,A020F0,160,32,240
SlateGray3,9FB6CD,159,182,205
MediumPurple2,9F79EE,159,121,238
Grey61,9C9C9C,156,156,156
DarkSeaGreen3,9BCD9B,155,205,155
Purple1,9B30FF,155,48,255
PaleGreen1,9AFF9A,154,255,154
YellowGreen,9ACD32,154,205,50
OliveDrab3,9ACD32,154,205,50
LightBlue3,9AC0CD,154,192,205
DarkOrchid3,9A32CD,154,50,205
DarkOrchid,9932CC,153,50,204
PaleGreen,98FB98,152,251,152
CadetBlue1,98F5FF,152,245,255
DarkSlateGray1,97FFFF,151,255,255
PaleTurquoise3,96CDCD,150,205,205
DarkViolet,9400D3,148,0,211
MediumPurple,9370DB,147,112,219
Purple2,912CEE,145,44,238
PaleGreen2,90EE90,144,238,144
LightGreen,90EE90,144,238,144
DarkSeaGreen,8FBC8F,143,188,143
CadetBlue2,8EE5EE,142,229,238
DarkSlateGray2,8DEEEE,141,238,238
LightSkyBlue3,8DB6CD,141,182,205
Ivory4,8B8B83,139,139,131
LightYellow4,8B8B7A,139,139,122
Yellow4,8B8B00,139,139,0
Snow4,8B8989,139,137,137
LemonChiffon4,8B8970,139,137,112
Cornsilk4,8B8878,139,136,120
Seashell4,8B8682,139,134,130
Khaki4,8B864E,139,134,78
LavenderBlush4,8B8386,139,131,134
AntiqueWhite4,8B8378,139,131,120
LightGoldenrod4,8B814C,139,129,76
Wheat4,8B7E66,139,126,102
MistyRose4,8B7D7B,139,125,123
Bisque4,8B7D6B,139,125,107
Thistle4,8B7B8B,139,123,139
NavajoWhite4,8B795E,139,121,94
PeachPuff4,8B7765,139,119,101
Gold4,8B7500,139,117,0
Burlywood4,8B7355,139,115,85
RosyBrown4,8B6969,139,105,105
Goldenrod4,8B6914,139,105,20
Plum4,8B668B,139,102,139
DarkGoldenrod4,8B658B,139,101,139
Pink4,8B636C,139,99,108
LightPink4,8B5F65,139,95,101
Tan4,8B5A2B,139,90,43
Orange4,8B5A00,139,90,0
LightSalmon4,8B5742,139,87,66
Salmon4,8B4C39,139,76,57
Orchid4,8B4789,139,71,137
PaleVioletRed4,8B475D,139,71,93
Sienna4,8B4726,139,71,38
SaddleBrown,8B4513,139,69,19
Chocolate4,8B4513,139,69,19
DarkOrange4,8B4500,139,69,0
Coral4,8B3E2F,139,62,47
HotPink4,8B3A62,139,58,98
IndianRed4,8B3A3A,139,58,58
Tomato4,8B3626,139,54,38
OrangeRed4,8B2500,139,37,0
Brown4,8B2323,139,35,35
VioletRed4,8B2252,139,34,82
Maroon4,8B1C62,139,28,98
Firebrick4,8B1A1A,139,26,26
DeepPink4,8B0A50,139,10,80
Magenta4,8B008B,139,0,139
DarkMagenta,8B008B,139,0,139
Red4,8B0000,139,0,0
DarkRed,8B0000,139,0,0
BlueViolet,8A2BE2,138,43,226
MediumPurple3,8968CD,137,104,205
SkyBlue1,87CEFF,135,206,255
LightSkyBlue,87CEFA,135,206,250
SkyBlue,87CEEB,135,206,235
LightSlateBlue,8470FF,132,112,255
Azure4,838B8B,131,139,139
Honeydew4,838B83,131,139,131
SlateBlue1,836FFF,131,111,255
Grey51,828282,130,130,130
Aquamarine,7FFFD4,127,255,212
Aquamarine1,7FFFD4,127,255,212
Chartreuse,7FFF00,127,255,0
Chartreuse1,7FFF00,127,255,0
SkyBlue2,7EC0EE,126,192,238
Purple3,7D26CD,125,38,205
LawnGreen,7CFC00,124,252,0
PaleGreen3,7CCD7C,124,205,124
MediumSlateBlue,7B68EE,123,104,238
CadetBlue3,7AC5CD,122,197,205
LightCyan4,7A8B8B,122,139,139
SlateBlue2,7A67EE,122,103,238
MediumOrchid4,7A378B,122,55,139
DarkSlateGray3,79CDCD,121,205,205
LightSlateGray,778899,119,136,153
Aquamarine2,76EEC6,118,238,198
Chartreuse2,76EE00,118,238,0
SlateGrey,708090,112,128,144
DarkOliveGreen4,6E8B3D,110,139,61
LightSteelBlue4,6E7B8B,110,123,139
SkyBlue3,6CA6CD,108,166,205
SlateGray4,6C7B8B,108,123,139
OliveDrab,6B8E23,107,142,35
SlateBlue,6A5ACD,106,90,205
DarkSeaGreen4,698B69,105,139,105
OliveDrab4,698B22,105,139,34
DimGrey,696969,105,105,105
Grey41,696969,105,105,105
SlateBlue3,6959CD,105,89,205
LightBlue4,68838B,104,131,139
DarkOrchid4,68228B,104,34,139
MediumAquamarine,66CDAA,102,205,170
Aquamarine3,66CDAA,102,205,170
Chartreuse3,66CD00,102,205,0
PaleTurquoise4,668B8B,102,139,139
CornflowerBlue,6495ED,100,149,237
SteelBlue1,63B8FF,99,184,255
LightSkyBlue4,607B8B,96,123,139
CadetBlue,5F9EA0,95,158,160
MediumPurple4,5D478B,93,71,139
SteelBlue2,5CACEE,92,172,238
DarkOliveGreen,556B2F,85,107,47
Purple4,551A8B,85,26,139
SeaGreen1,54FF9F,84,255,159
PaleGreen4,548B54,84,139,84
CadetBlue4,53868B,83,134,139
DarkSlateGray4,528B8B,82,139,139
SteelBlue3,4F94CD,79,148,205
Grey31,4F4F4F,79,79,79
SeaGreen2,4EEE94,78,238,148
SkyBlue4,4A708B,74,112,139
MediumTurquoise,48D1CC,72,209,204
RoyalBlue1,4876FF,72,118,255
DarkSlateBlue,483D8B,72,61,139
SlateBlue4,473C8B,71,60,139
SteelBlue,4682B4,70,130,180
Aquamarine4,458B74,69,139,116
Chartreuse4,458B00,69,139,0
SeaGreen3,43CD80,67,205,128
RoyalBlue2,436EEE,67,110,238
RoyalBlue,4169E1,65,105,225
Turquoise,40E0D0,64,224,208
MediumSeaGreen,3CB371,60,179,113
RoyalBlue3,3A5FCD,58,95,205
SteelBlue4,36648B,54,100,139
Grey21,363636,54,54,54
LimeGreen,32CD32,50,205,50
DarkSlateGray,2F4F4F,47,79,79
SeaGreen,2E8B57,46,139,87
SeaGreen4,2E8B57,46,139,87
RoyalBlue4,27408B,39,64,139
ForestGreen,228B22,34,139,34
LightSeaGreen,20B2AA,32,178,170
DodgerBlue,1E90FF,30,144,255
DodgerBlue1,1E90FF,30,144,255
DodgerBlue2,1C86EE,28,134,238
Grey11,1C1C1C,28,28,28
MidnightBlue,191970,25,25,112
DodgerBlue3,1874CD,24,116,205
DodgerBlue4,104E8B,16,78,139
Cyan,00FFFF,0,255,255
Cyan1,00FFFF,0,255,255
SpringGreen,00FF7F,0,255,127
SpringGreen1,00FF7F,0,255,127
Green,00FF00,0,255,0
Green1,00FF00,0,255,0
MedSpringGreen,00FA9A,0,250,154
Turquoise1,00F5FF,0,245,255
Cyan2,00EEEE,0,238,238
SpringGreen2,00EE76,0,238,118
Green2,00EE00,0,238,0
Turquoise2,00E5EE,0,229,238
DarkTurquoise,00CED1,0,206,209
Cyan3,00CDCD,0,205,205
SpringGreen3,00CD66,0,205,102
Green3,00CD00,0,205,0
Turquoise3,00C5CD,0,197,205
DeepSkyBlue,00BFFF,0,191,255
DeepSkyBlue1,00BFFF,0,191,255
DeepSkyBlue2,00B2EE,0,178,238
DeepSkyBlue3,009ACD,0,154,205
Cyan4,008B8B,0,139,139
DarkCyan,008B8B,0,139,139
SpringGreen4,008B45,0,139,69
Green4,008B00,0,139,0
Turquoise4,00868B,0,134,139
DeepSkyBlue4,00688B,0,104,139
DarkGreen,006400,0,100,0
Blue,0000FF,0,0,255
Blue1,0000FF,0,0,255
Blue2,0000EE,0,0,238
MediumBlue,0000CD,0,0,205
Blue3,0000CD,0,0,205
Blue4,00008B,0,0,139
DarkBlue,00008B,0,0,139
NavyBlue,000080,0,0,128
Black,000000,0,0,0
