N,Color,Hex Code,R,G,B,Pack added,Issued,Retired,Notes
101,Screamin' Green,76FF7A,118,255,122,72,1972,0,"Renamed from ""Ultra Green"" in 1990. Fluorescent."
102,Sea Green,9FE2BF,159,226,191,48,1949,0,
103,Sepia,A5694F,165,105,79,64,1958,0,
104,Shadow,8A795D,138,121,93,120,1998,0,
105,Shamrock,45CEA2,69,206,162,96,1993,0,
106,Shocking Pink,FB7EFD,251,126,253,72,1972,0,"Renamed from ""Ultra Pink"" in 1990. Fluorescent."
107,Silver,CDC5C2,205,197,194,48,1949,0,Metallic.
108,Sky Blue,80DAEB,128,218,235,64,1958,0,
109,Spring Green,ECEABE,236,234,190,48,1949,0,
110,Sunglow,FFCF48,255,207,72,80,1990,0,Fluorescent.
111,Sunset Orange,FD5E53,253,94,83,120,1998,0,
112,Tan,FAA76C,250,167,108,48,1949,0,
113,Teal Blue,18A7B5,24,167,181,80,1990,2003,
114,Thistle,EBC7DF,235,199,223,48,1949,2000,
115,Tickle Me Pink,FC89AC,252,137,172,96,1993,0,Named in a contest by ClevverTV Personality Joslyn Davis
116,Timberwolf,DBD7D2,219,215,210,96,1993,0,
117,Tropical Rain Forest,17806D,23,128,109,96,1993,0,
118,Tumbleweed,DEAA88,222,170,136,96,1993,0,
119,Turquoise Blue,77DDE7,119,221,231,48,1949,0,
120,Unmellow Yellow,FFFF66,255,255,102,80,1990,0,Fluorescent.
121,Violet (Purple,926EAE,146,110,174,8,1903,0,
122,Violet Blue,324AB2,50,74,178,48,1949,1990,
123,Violet Red,F75394,247,83,148,24,1949,0,
124,Vivid Tangerine,FFA089,255,160,137,80,1990,0,
125,Vivid Violet,8F509D,143,80,157,120,1998,0,
126,White,FFFFFF,255,255,255,24,1949,0,
127,Wild Blue Yonder,A2ADD0,162,173,208,120,2003,0,
128,Wild Strawberry,FF43A4,255,67,164,80,1990,0,
129,Wild Watermelon,FC6C85,252,108,133,72,1972,0,"Renamed from ""Ultra Red"" in 1990. Fluorescent."
130,Wisteria,CDA4DE,205,164,222,96,1993,0,
131,Yellow,FCE883,252,232,131,8,1903,0,
132,Yellow Green,C5E384,197,227,132,24,1949,0,
133,Yellow Orange,FFAE42,255,174,66,24,1949,0,
1,Alloy Orange,C46210,196,98,16,2001,0,0,
2,B'dazzled Blue,2E5894,46,88,148,2001,0,0,
3,Big Dip O' Ruby,9C2542,156,37,66,2001,0,0,
4,Bittersweet Shimmer,BF4F51,191,79,81,2001,0,0,
5,Blast Off Bronze,A57164,165,113,100,2001,0,0,
6,Cyber Grape,58427C,88,66,124,2001,0,0,
7,Deep Space Sparkle,4A646C,74,100,108,2001,0,0,
8,Gold Fusion,85754E,133,117,78,2001,0,0,
9,Illuminating Emerald,319177,49,145,119,2001,0,0,
10,Metallic Seaweed,0A7E8C,10,126,140,2001,0,0,
11,Metallic Sunburst,9C7C38,156,124,56,2001,0,0,
12,Razzmic Berry,8D4E85,141,78,133,2001,0,0,
13,Sheen Green,8FD400,143,212,0,2001,0,0,
14,Shimmering Blush,D98695,217,134,149,2001,0,0,
15,Sonic Silver,757575,117,117,117,2001,0,0,
16,Steel Blue,0081AB,0,129,171,2001,0,0,
