name,description
Cliff Pallet,Cleft pallet
Cole Durkee,Cold turkey
Cole Kutz,Cold cuts
Cole LaDrinque,Cola Drink
Cole Mines,Coal mines
Cole Shute,Coal chute
Cole Slaw,Cole slaw
Colin Oscopy,Colonoscopy
Comeoni Wanalaya,"Come on, I want to lay you"
Connie Lingus,Cunilingus
Constance Craving,Constant craving
Constance Noring,Constant snoring
Cooke Crumbles,Cookie crumbles
Corey Ander,Coriander
Corey O. Graff,Choreograph
Cory Ander,Coriander
Count Dunn,Count down
Count Orff,Count off
Craven Moorehead,Craving more head
Craven Moorhead,craving more head
Crystal Ball,Crystal ball
Crystal Chanda Leir,Crystal chandelier
Crystal Claire Waters,Crystal clear waters
Crystal Glass,Crystal glass
Crystal Snow,Crystal snow
Crystal Ware,Crystalware
Curt N. Call,Curtian call
Curtis E. Flush,Courtsey flush
Curtiss E. Card,Courtesy card
D. Bate,Debate
D. Billatating,Debillating
D. Booty,The booty
D. Cease,Decease
D. Cyst,Desist
D. Day,D-Day
D. Duest,Deduce
D. Formed,Deformed
D. Frost,Defrost
D. Gennerett,Degenerate
D. Kay,Decay
D. Kup,D-Cup
D. Licious,Delicious
D. Liver,Deliver
D. Minus,D-
D. Pleat,Deplete
D. Rail,Derail
D. Soto,DeSoto
D. Tease,Detease
D. Toxin,Detoxing
D. Troit,Detriot
D. Voutehope,Devout hope
D. Wurst,The worst
Dan D. Lyons,Dandeloin
Dan Deline,Dandeloin
Dan Druff,Dandruff
Dan Glyen,Dangling
Dan Saul Knight,Dance all night
Dante Sinferno,Dante's inferno
Darren Deeds,Daring deeds
Darren Dick,Daring dick
Daryl Lickt,Delelict
Daryl Rhea,Diarrhea
Deb Utant,Debutante
Dee Flower,Deflower
Dee Lynn Quint,Delinquint
Dee Mented,Demented
Dell Monte,Del Monte
Della Gate,Delegate
Denise R. Nockin,The knees are knocking
Dennis Racket,Tennis Racquet
Dennis Toffice,Dentist office
Derri Anne Connecticut,"Darien, Connecticut"
Desi Krashum,Desecration
Di Rhea,Diarreha
Diana Cancer,Dying of cancer
Dick B. Long,Dick be long
Dick Burns,Dick Burns
Dick Butkiss,Dick butt kiss
Dick Cummings,Dick Cummings
Dick Face,Dick Face
Dick Fitz,Dick fits
Dick Fitzwell,Dick fits well
Dick Gazinya,Dick goes in you
Dick Groh,Dick grow
Dick Head,Dickhead
Dick Heads,Dickheads
Dick Hertz,Dick hurts
Dick Holder,Dick holder
Dick Israel Small,Dick is real small
Dick Johnson,Dick johnson
Dick Longfellow,Dick Long Fellow
Dick Lotion,Dick Lotion
Dick Mussell,Dick Muscle
Dick Ryser,Dick riser
Dick S. Bendragen,Dicks been draging
Dick Skidmore,Dick skid more
Dick Stillhard,Dick still hard
Dick Sweat,Dick sweat
Dick Swett,Dick sweat
Dick Tator,Dictator
Dick Tease,Dick Tease
Dick Wipe,Dick Wipe
Dickson Yamada,Dicks on your mama
Dill Doe,Dildo
Dinah Floe,Dynaflow
Dinah Might,Dynomite
Dinah Soares,Dinosaurs
Dixie Kupp,Dixie cup
Dixie Normous,Dick enormous
Dixon Hand,Dick on hand
Dixon Tudeep,Dicks in too deep
Doe C. Dhoates,Dozy dotes
Dom Inate,Dominate
Don Bashinda Miccar,Don't bash into my car
Don Key,Donkey
Don Stairs,Downstairs
Donald Duck,Donald Duck
Donatella Nobatti,Don't tell nobody
Doris Closed,Door is closed
Doris Open,Door is open
Doris Schutt,Door is shut
Doug Graves,Dug graves
Doug Hole,Dug hole
Doug Lee Duckling,Ugly duckling
Doug Love-Fitzhugh,the glove fits you
Doug Out,Dugout
Doug Witherspoon,Dug with her spoon
Douglas Furr,Douglas fir
Drew Peacock,Droopy cock
Drew Pictures,Drew Pictures
Duane Pipe,Drain pipe
Dusty Carr,Dusty car
Dusty Rhodes,Dusty roads
Dusty Storm,Dusty storm
Dwayne Pipe,Drain pipe
E. Bonnicks,Ebonics
E. Claire,Éclair
E. Gerlipz,Eager lips
E. Late,Elate
E. Leet,Elite
E. Leventhower,Eleventh hour
E. Nuff,Enough
E. Quator,Equator
E. Rupt,Erupt
E. Sophogus,Esophogus
E. Ternallov,Eternal love
E. Titraw,Eat it raw
E. Valdeeds,Evil deeds
E. van Nods,Even odds
E. Velli,Evil eye
E. Zeeout,Easy out
E. Zelay,Easy lay
E. Zeoff,Easy off
E.Z. Leigh,Easy lay
Earl E. Bird,Early Bird
Earl E. Byrd,Early Bird
Earl Lee Riser,Early riser
Eaton Wright and Liv Good,Eating right and living good
Ed Itorial,Editorial
Ed U. Cation,Education
Ed Zupp,Heads up
Eddy Kitt,Etiquette
Eileen Dover,I leaned over
Eileen Left,I lean left
Eileen Uhlik,"I lean, you lick"
Ella Mentry,Elementry
Ella Vader,Elevator
Ella Vator,Elevator
Elle Bowdrop,Elbow drop
Ellis Dee,LSD
Ellis I. Land,Ellis Island
Emersom Biggins,Them are some big ones
Emerson Biggins,Them are some big ones
Emile Eaton,A meal eaten
Emma Lusa,I'm a loser
Emma Royds,Hemmaroids
Enda Middle,In the middle
Eric Shinn,Erection
Eric Shun,Erection
Ernie Coli,E. Coli owns a Mexican restaurant
Estelle Hertz,Tt still hurts
Eva Destruction,Eve of destruction
Evan Keel,Even keel
Evan Shlee,Eventualy
F. Fervessant,Effervessant
F. Fort,Effort
F. Stopp,F-Stop
Father A. Long,Father along
Fawn Dell Maibalz,Fondle my balls
Faye Daway,Fade away
Faye Sbook,Facebook
Feela Newman,feel a new man
Felia Balls,Feel balls
Felix Austead,feel exhausted
Ferris Wheeler,Freeis Wheel
Florida Keyes,Florida Keys
Forrest Green,Forest green
Forrest Ranger,Forest rander
Foster Child,Foster child
Frank Enstein,Frankenstein
Frank N. Beans,Frank and beans
Frank N. Sense,Frankincense
Frank N. Stein,Frankenstein
Frank Senbeans,Franks and beans
Fred Attchini,Fetuchinne
G. Mann,G-Man
G. Purscreepers,Jeepers creepers
G. Raff,Giraffe
G. Sass,Jesus
G. String,G-String
G. Whiss,Gee whizz
G. Willikers,Gee willikers
Gabe Lackmen,Gay black man
Gail Force,Gale force
Gail Forcewind,Gale force wind
Gail Storm,Gale storm
Gay Barr,Gay bar
Gaye Barr,Gay bar
Gene Jacket,Jean jacket
Gene Poole,Gene pool
General Lectric,General Electric
Geoff L. Tavish,Gefilte fish
George Washington Bridge,George Washington Bridge
George Washington Sleptier,George Washington slept here
Georgia Cracker,Georgia cracker
Geri Attrick,Geriatric
Gerry Atric,Geriatric
Gerta Loins,Gert the loins
Gill D. Lily,Guilded lily
Ginger Rayl,Ginger ale
Ginger Snapp,Ginger snap
Ginger Vitus,Gingivitis
Gladys C. Hughes,Glad to see you
Golda Fish,Gold fish
Grace B. Formeels,Grace before meals
Graham Cracker,Graham Cracker
Greta Life,Get a life
Hal Appeno,Jalapeno
Hal C. N. Days,Halcyon days
Hal E. Tosis,Halitosis
Hal Mallet,Hamlet
Hal O. Tosis,Halitosis
Hamilton Burger,Hamburger
Hammond Ecks,Ham and eggs
Hanni ball,Hannibal
Hans Olo,Hans Solo
Hap E. Birthday,Happy birthday
Harden Thicke,Hard and thick
Harry Armand Bach,Hairy arm and back
Harry Baals,Hairy balls
Harry Beard,Hairy beard
Harry Beaver,Hairy beaver
Harry Boughner,Hairy boner
Harry Bush,Hairy bush
Harry Butts,Hairy butts
Harry Chest,Hairy chest
Harry Cox,hairy cocks
Harry Crack,Hairy crack
Harry Johnson,Hairy johnson
Harry Kuntz,Hairy cunts
Harry Legg,Hairy leg
Harry Lipp,Hairy lip
Harry P. Ness,Hairy penis
Harry Palms,Hairy palms
Harry Peters,Hairy peters
Harry Pitts,Hairy pitts
Harry R. M. Pitts,Hairy arm pitts
Harry Sachs,Hairy sacks
Harry Wang,Hairy wang
Harry Zach O'Balls,Hairy sack of balls
Haywood Jabuzov,"Hay, would ya blow me"
Haywood Yablome,"Hay, would ya blow me"
Hazle Nutt,Hazlenut
Heaven Lee,Heavenly
Hedda Hare,Head of hair
Hedda Lettuce,Head of lettus
Heidi Clare,I declare
Helen Back,Hell and back
Helen Heaven,Hell and heaven
Helen Highwater,Hell and high water
Helen Waite,Hell and wait
Helen Wheels,Hell on wheels
Helen Wiells,hell on wheels
Herbie Sinplex,Herpes Simplex
Hey Zeus,Jesus
Holden Cox,Holding cocks
Holden Milode,Holding my load
Holland Oats,Hall and Oats
Holly Day,Holiday
Holly Dayin,Holiday Day Inn
Holly Graham,Holigram
Holly Wood,Hollywood
Holly Woods,Hollywoods
Honor Back,On her back
Hope Uswaller,Hope you swallow
Hose Cannusey,Oh say can you see
Howie Diddot,How he did it
Howie Doohan,How we doing
Howie Feltersnatch,how he felt her snatch
Howie Kisses,How he kisses
Hugh Briss,Eubris
Hugh DeMann,You the man
Hugh Drack,Huge Rack
Hugh E. Rection,Huge Erection
Hugh G. Rection,Huge Erection
Hugh Jarse,Huge Ass
Hugh Jass,huge ass
Hugh Jorgan,huge organ
Hugh Miliation,Humiliation
Hugh Morris,Humorou
Hugh Suck,You suck
Hung Lo,Hung Low
Hung Low,Hung Low
Hy Ball,High ball
Hy Lowe,High low
Hy Marks,High marks
Hy Marx,High marks
Hy Price,High price
I. Ball,Eyeball
I. Beam,I-Beam
I. Dedd,I did
I. Dentity,Identify
I. Dolatry,Idolatry
I. Dunno,I don’t know
I. Hopes,I hope
I. Lasch,Eyelash
I. Rate,Irate
I. Sawyer Dickey,I saw your dickey
I. Wash,Eye wash
I. Yoda,Iota
I.D. Clair,I declare
I.M. Boring,I am boring
I.P. Daily,I pee daily
I.P. Freely,I pee freely
Ida Ho,Idaho
Ido Hoe,Idaho
Idy Clair,I declare
Igotta Gobad,I got to go bad
Ike Umlotz,I cum a lot
Ileane Wright,I lean right
Ilene Dover,I lean over
Ilene East,I lean east
Ilene North,I lean north
Ilene South,I lean south
Ilene West,I lean west
Ima Cummin,I'm coming
Ima Dork,I'm a dork
Ima Gay,I'm a gay
Ima Gaye-Barr,I'm a gay bear
Ima Hogg,I'm a hog
Ima Horr,I'm a whore
Ima Klotz,I'm a klutz
Io Ewe,I owe
Iona Corolla,I own a Corolla
Iona Ford,I own a Ford
Ira Membrit,I remember it
Ira Pent,I repent
Iris Audit,I.R.S. Audit
Isaac Cox,I suck cocks
Isaac Kuntz,I suck cunts
Itza Bird,It’s a bird
Iva Biggun,I have a big one
Iva Woody,I have a woody
Ivana Humpalot,I want to hump a lot
Ivana Sukalot,I want to suck a lot
Ivana Tinkle,I want to tinkle
Ivanna B. Badd,I want to be bad
Ivy Leage,Ivy League
J. Hawker,Jay hawker
J. Lerr,Jailor
J. Walker,Jay walker
Jack Cass,Jackass
Jack Dup,Jacked up
Jack Goff,Jack off
Jack Hammer,Jack hammer
Jack Hoff,Jack off
Jack Knoff,Jack off
Jack Mehoff,Jack me off
Jack N. Noff,Jacking off
Jack Offherson,Jack off her son
Jack Pot,Jackpot
Jack Pott,Jackpot
Jack Tupp,Jacked up
Jacklyn Hyde,Jeckyll and Hyde
Jacquelyn Hyde,Jeckyll and Hyde
Jaques Strapp,Jock strap
Javy Cado,Avacado
Jay Walker,Jay walker
Jean Poole,Gene pool
Jed Dye,Jedi
Jen Etzel,Genital
Jena Talia,Genitalia
Jenna Side,Genoside
Jenna Tolls,Genitals
Jenny Tull,Genital
Jerry Atrick,Geriatric
Jerry Attrick,Geriatric
Jess Thetip,Just the tip
Jill E. Bean,Jelly bean
Jim Laucher,gym locker
Jim Nasium,Gymnasium
Jim Shoe,Gym shoe
Jim Shorts,Gym shorts
Jim Shu,Gym shoe
Jim Sox,Gym socks
Jimmy Changa,Chimmichanga
Jo King,Joking
Joaquin DeFlores,walkin' the floors
Joe Kerr,joker
Joe King,Joking
Johnson Biggs,Johnson Big
Jordan Rivers,Jordan River
Joy Kil,Joy kill
Joy Ragg,Joy rag
Joy Rider,Joyrider
Juan Annatoo,One and a tow
Juan De Hattatime,one day at a time
Juan Formababy,Want to form a baby
Juan Hung Lowe,One hung low
Juan Kallot,wank a lot
Juan Kerr,Wanker
Juan Morefore DeRhode,One more for the road
Juan Soponatime,Once upon a time
June Bugg,June bug
Justin Case,Just in case
Justin Casey Howells,Just in case he yells
Justin Huff,Just enough
Justin Inch,Just an inch
Justin Miles North,just ten miles north
Justin Sider,Just inside her
Justin Syder,Just inside her
Justin Thyme,Just in time
Justin Time,Just in time
Juwanna Hooker,You want a hooker
Juwanna Peter,You want a peter
K. Passo,Que paso
K. Ration,K-ration
K. Ryst,Christ
Kandi Apple,Candy apple
Kat E. Gory,Category
Kay Bull,Cable
Keisha Mei Ash,Kiss my ass
Kelly Green,Kelly green
Ken Dahl,Candle
Ken Tucky,Kentucky
Kent C. Strait,Can't see straight
Kerry Oaky,Karaoke
Kerry Oki,Karaoke
Kisme U. Fool,Kiss me you fool
Kitty Katz,Kitty cats
Kitty Litter,Kitty litter
Kris Mass,Kiss my ass
Kristie Hannity,Christianity
L. Bent,Hell bent
L. Bowgrees,Elbow grease
L. Efant,Elephant
L. Egible,Elegible
L. Lowe,Hello
L.O. Quency,Eloquency
Lance Boyle,Lance boil
Lance Butts,Lance butts
Laura Lynne Hardy,Laurel and Hardy
Laura Norder,law and order
Laurel Ann Hardy,Laurel and Hardy
Lawrence Nightengail,Florence Nightingale
Leda Doggslife,Led a dogs life
Lee Derhosen,Lederhosen
Lee Deway,Lead the way
Lee Mealone,Leave me alone
Leigh King,leaking
Leigha Tard,Lay a turd
Lemmy Ian,Let me in
Len Lease,Lend lease
Les Moore,Less more
Levi Jaquet,Levi Jacket
Levon Coates,Leave on coats
Lew Scannon,Loose cannon
Lewis N. Clark,Lewis and Clark
Lily Pond,Lily Pond
Lindsay Doyle,linseed oil
Lionel Train,Lionel train
Lisa Carr,Lease a car
Lisa Ford,Lease a Ford
Lisa Honda,Lease a Honda
Liz B. Anne,Lesbian
Loo King Good,Looking good
Lotta Hare,Lot of hair
Lotta Krap,Lot of crap
Lotta Zitts,Lot of zits
Lou Gubrious,Lugubrious
Lou Pole,Loop hole
Lou Sinclark,Lewis and Clark
Lou Tenant,Lieutenant
Lou Zar,loser
Louie Z. Ana,Louisiana
Louis Ville,Louisville
Lu Zer,Loser
Lucy Fer,Lucifer
Luke Warm,Luke warm
Lynn Guini,Linguini
Lynn O. Liam,Linoleum
M. Balmer,Enbalmer
M. Plode,Inplode
M. Reldail,Emerald isle
M. Ulate,Emulate
M.N. Intman,Entenmann
M.T. Mylode,Empty my load
M.T. Toombe,Empty tomb
Mack Truck,Mack Truck
Macon Paine,Making pain
Madame Dick Hertz,My damn dick hurts
Maida Pass,Made a pass
Maj. Lee Gay,Majorly gay
Mal Practice,Malpractice
Mandy Lifeboats,Man the lifeboats
Manny Feltersnatch,Man he felt her snatch
Manny Kanblo,Man he can blow
Manny Kinn,Mannequin
Manuel Labor,Manual labor
Marco DeStinkshun,Mark of destinction
Marcus Absent,Mark us absent
Marcus Down,Mark us down
Marge Arin,Margarine
Marge Arita,Margarita
Marguerite DeVille,Margaritaville
Mark A. Roni,Macaroni
Mark Kards,Mark cards
Marsha Dimes,march of dimes
Marsha Mellow,Marshmellow
Marshall Law,Marshal law
Marty Graw,Mardi Gras
Marv Ellis,Marvelous
Marvin Gardens,Marvin Gardens
Mary A. Richman,Mary a rich man
Mary Achi,Mariachi
Mary Ann Bright,Merry and bright
Mary Chris Smith,Merry Christmas
Mary Christmas,Merry Christmas
Mary Gold,Marigold
Mary Goround,Merry-go-round
Mary Juanna,Marijuana
Mary Nara,Marinara
Matt Innae,Matinee
Matt Tres,Mattress
Matt Tress,Mattress
Matt Uhrafact,Matter of fact
Maud O'Lynn,Maudlin
Maude L.T. Ford,Model T Ford
Max E. Padd,Maxi pad
Max Emum,Maximum
May Ann Naze,Mayonnaise
May Balleen,Maybelline
May Boyle,May boil
May Day,May day
May Dye,May die
May Flowers,May flowers
May Flye,May fly
May Furst,May first
May K. Fist,Make fist
May Zola,Mazola
Mayflower van Lines,Mayflower Van Lines
Meg A. Boner,Mega boner
Meg O. Tunn,Megaton
Mel Loewe,Mellow
Mel N. Colic,Meloncolic
Memm Brzonly,Members only
Meyer Z. Dhoates,Mairzy Doats
Mick Donalds,McDonalds
Mick O'Lobe,Michelob
Midge Itz,Migits
Mike Czech,mic check
Mike Easter,My keester
Mike Hock,My cock
Mike Hunt,My cunt
Mike Lit,My clit
Mike Litoris,My clitoris
Mike Okhurtz,My cock hurts
Mike Oxbig,My cock's big
Mike Oxtiff,My cock's stiff
Mike Reinhart,My Cryin' Heart - sounds like it could be a country song
Mike Roscope,Microscope
Mike Rotch,Microtech
Mike Rotchtickles,My crotch tickles
Mike Sweeney,"sounds as Mike's weenie, famous baseball player"
Milly Graham,Milligram
Milton Yermouth,Melt in your mouth
Minnie Mum,Minimum
Minny Heurts,My knee hurts
Minny Tonka,Minnetonka
Miss Inga Page,Missing a page
Missy Sippy,"and her mom, Mrs. Sippy"
Mister Bates,Masturbates
Mitch Ubishi,Mitsubishi
Mo Lestor,Molester
Moe Lester,Molester
Moe Tell,Motel
Molly Kuehl,Molecule
Mona Little,Moan a little
Mona Little-Moore,Moan a little more
Mona Lott,Moan a lot
Mona Lott-Moore,Moan a lot more
Monty Carlo,Monte Carlo
Morey Bund,Moribund
Mort R. Board,Mortar Board
Mr. Bates,Masturbades
Munchma Quichi,Munch my coochie
Myles Long,Miles long
N. Chovey,Anchovey
N. Doverend,End over end
N. Emma,Enema
N. Fant,Infant
N. Sanity,Insanity
N. Tropy,Entropy
N. Vinceable,Invincable
N.M.E Agent,Enemy agent
N.V. Ubble,Envyable
Neil Down,Kneel down
Neil Dupre,kneel to pray
Neil DuPrey,Kneel to prey
Neil McNeil,submitted by his cousin
Nick O. Teen,Nicotine
Nick O. Time,Nick of time
Nick R. Bocker,Knickerbocker
Nina Levin,911
Noah I. Cue,No IQ
Noah Riddle,Noah Lott
Norma Lee Oppin,Normally hopping
Norma Leigh Lucid,Normally lucid
Nosmo King,No smoking
O. Clahoma,Oklahoma
O. Fudge,Oh Fudge
O. Full,Awful
O. Kay,OK
O. Leo,Oleo
O. Tannenbaum,Oh Tannenbaum
O. Valtine,Ovaltine
O. Very,Overy
Ock Kewpannt,Occupant
Olive Branch,Olive Branch
Olive Green,Olive Green
Olive Hoyl,Olive oil
Olive Yew,I love you
Olive Yu,I love you
Oliver Sutton,all of a sudden
Ophelia Payne,I feel your pain
Ophelia Teats,I feel your teats
Oren Jellow,Orange yellow
Orson Carte,Horse and cart
Otto Carr,Auto car
Otto Graf,Autograph
Otto Matic,Automatic
Owen Bigg,should be tax collectors
Owen Cash,Owing cash
Owen Moore,Owing more
P. Cann,Pecan
P. King,Peeking
P. Knutt,Peanut
P. Koates,Pea coats
P. Quad,Pequot
Page Turner,Page turner
Paige Turner,Page turner
Park A. Studebaker,Park a Studebaker
Parker Carr,Park a car
Pat Ernity,Peternity
Pat Hiscock,Pat his cock
Pat McRotch,pat my crotch
Pat Myass,Pat my ass
Pat Mycock,Pat my cock
Patty Cakes,Patty Cakes
Patty O'Dors,Patio Doors
Patty O'Ferncher,Patio Furniture
Patty O'furniture,Patio Furniture
Paul Molive,Palmolive
Pearl E. Gates,Pearly Gates
Pearl E. White,Parely White
Peg Leg,Peg leg
Peg Legge,Peg leg
Penny Ante,Penny ante
Penny Candy,Penny candy
Penny Lane,Penny lane
Penny Loafer,Penny loafer
Penny Nichols,(Banker)
Penny Profit,Penny profiy
Penny Trate,Penetrate
Penny Tration,Penetration
Penny Wise,Penny wise
Pepe Roni,Pepporini
Perry Mecium,Parameium
Pete Moss,Pete moss
Pete Sariya,Pizzeria
Peter B. Hangin,Peter be hanging
Peter B. Stiff,Peter be stiff
Peter Burns,Peter burns
