3-D '/T/r/i/d/i/
abreast /@/'br/E/st
abri /&/'br/i/
abridge /@/'br/I//dZ/
abridgement /@/'br/i//dZ/m/@/nt
abridgment /@/'br/I//dZ/m/@/nt
abris /&/'br/i/z
abroach /@/'br/oU//tS/
abroad /@/'br/O/d
abrogable '/&/br/@/g/@/b/@/l
abrogate '/&/br/@/,g/eI/t
abrogation ,/&/br/@/'g/eI//S//@/n
abrupt /@/'br/@/pt
abruption /@/'br/@/p/S//@/n
abruptly /@/'br/@/ptl/i/
Abruzzi /A/'bR/u/tts/i/
Absalom '/&/bs/@/l/@/m
abscess '/&/bs/E/s
abscind /&/b's/I/nd
abscise /&/b's/aI/z
abscissa /&/b's/I/s/@/
abscission /&/b's/I//Z//@/n
abscission_layer /&/b's/I//Z//@/n_'l/eI//@/r
abscond /&/b'sk/A/nd
abscound /&/b'sk/A/nd
Absecon /&/b's/i/k/@/n
abseil '/A/pz/aI/l
absence '/&/bs/@/ns
absence_flag '/&/bs/@/ns_fl/&/g
absence_state '/&/bs/@/ns_st/eI/t
absent '/&/bs/@/nt
absent-minded '/&/bs/@/nt'm/aI/nd/I/d
absent/aj '/&/bs/@/nt
absent/v /&/b's/E/nt
absentation ,/&/bs/@/n't/eI//S//@/n
absentee ,/&/bs/@/n't/i/
absenteeism ,/&/bs/@/n't/i//I/z/@/m
absentee_ballot ,/&/bs/@/n't/i/_'b/&/l/@/t
absentee_landlord ,/&/bs/@/n't/i/_'l/&/nd,l/O/rd
absentee_vote ,/&/bs/@/n't/i/_v/oU/t
absentee_voter ,/&/bs/@/n't/i/_'v/oU/t/@/r
absente_reo /&/b's/E/nt/i/_'r/i//oU/
absentia '/&/bs/@/nt/i//&/
absently '/&/bs/@/ntl/i/
absentminded ,/&/bs/@/nt'm/aI/nd/@/d
Abshire '/&/b/S//aI/r
absinth '/&/bs/I/n/T/
absinthe '/&/bs/I/n/T/
absinthe_green '/&/bs/I/n/T/_gr/i/n
absinthe_oil '/&/bs/I/n/T/_//Oi//l
absinthism '/&/bs/I/n,/T//I/z/@/m
absit_omen '/A/bs/I/t_'/oU/m/E/n
absolute '/&/bs/@/,l/u/t
absolutely ,/&/bs/@/'l/u/tl/i/
absolutely_right ,/&/bs/@/'l/u/tl/i/_r/aI/t
absolute_alcohol '/&/bs/@/,l/u/t_'/&/lk/@/,h/O/l
absolute_altimeter '/&/bs/@/,l/u/t_/&/l't/I/m/I/t/@/r
absolute_altitude '/&/bs/@/,l/u/t_'/&/lt/I/,t/u/d
absolute_ceiling '/&/bs/@/,l/u/t_'s/i/l/I//N/
absolute_contradiction '/&/bs/@/,l/u/t_,k/A/ntr/@/'d/I/k/S//@/n
absolute_ego '/&/bs/@/,l/u/t_'/i/g/oU/
absolute_fact '/&/bs/@/,l/u/t_f/&/kt
absolute_idea '/&/bs/@/,l/u/t_/aI/'d/i//@/
absolute_impediment '/&/bs/@/,l/u/t_/I/m'p/E/d/@/m/@/nt
absolute_indication '/&/bs/@/,l/u/t_,/I/nd/@/'k/eI//S//@/n
absolute_interest '/&/bs/@/,l/u/t_'/I/nt/@/r/I/st
absolute_likeness '/&/bs/@/,l/u/t_'l/aI/kn/I/s
absolute_magnitude '/&/bs/@/,l/u/t_'m/&/gn/I/,t/u/d
absolute_majority '/&/bs/@/,l/u/t_m/@/'/dZ//O/r/I/t/i/
absolute_master '/&/bs/@/,l/u/t_'m/&/st/@/r
absolute_monarch '/&/bs/@/,l/u/t_'m/A/n/@/rk
absolute_monarchy '/&/bs/@/,l/u/t_'m/A/n/@/rk/i/
absolute_music '/&/bs/@/,l/u/t_'m/j//u/z/I/k
absolute_pitch '/&/bs/@/,l/u/t_p/I//tS/
absolute_power '/&/bs/@/,l/u/t_'p/AU//@/r
absolute_realism '/&/bs/@/,l/u/t_'r/i//@/,l/I/z/@/m
absolute_scale '/&/bs/@/,l/u/t_sk/eI/l
absolute_spirit '/&/bs/@/,l/u/t_'sp/I/r/I/t
absolute_temperature '/&/bs/@/,l/u/t_'t/E/mp/@/r/@//tS//@/r
absolute_value '/&/bs/@/,l/u/t_'v/&/l/j//u/
absolute_veto '/&/bs/@/,l/u/t_'v/i/t/oU/
absolute_zero '/&/bs/@/,l/u/t_'z/i/r/oU/
absolution ,/&/bs/@/'l/u//S//@/n
absolutism '/&/bs/@/l/u/,t/I/z/@/m
absolutory /&/b's/A/l/j//@/,t/oU/r/i/
absolve /&/b'z/A/lv
absonant '/&/bs/@/n/@/nt
absorb /&/b's/O/rb
absorbance /&/b's/O/rb/@/ns
absorbed /&/b's/O/rbd
absorbedly /&/b's/O/rb/I/dl/i/
absorbedness /&/b's/O/rbdn/E/s
absorbefacient /&/b,s/O/rb/@/'f/eI//S//@/nt
absorbent /&/b's/O/rb/@/nt
absorber /&/b's/O/rb/@/r
absorbing /&/b's/O/rb/I//N/
absorptance /&/b's/O/rpt/@/ns
absorptiometer /&/b,s/O/rp/S//i/'/A/m/I/t/@/r
absorptiometric /&/b's/O/rp/S//i//@/'m/E/_tr/I/k
absorption /&/b's/O/rp/S//@/n
absorption_band /&/b's/O/rp/S//@/n_b/&/nd
absorption_circuit /&/b's/O/rp/S//@/n_'s/[@]/rk/I/t
absorption_coefficient /&/b's/O/rp/S//@/n_,k/oU//@/'f/I//S//@/nt
absorption_current /&/b's/O/rp/S//@/n_'k/[@]/r/@/nt
absorption_discontinuity /&/b's/O/rp/S//@/n_,d/I/sk/A/n't/-/n/u//I/t/i/
absorption_dynamometer /&/b's/O/rp/S//@/n_,d/aI/n/@/'m/A/m/I/t/@/r
absorption_edge /&/b's/O/rp/S//@/n_/E//dZ/
absorption_factor /&/b's/O/rp/S//@/n_'f/&/kt/@/r
absorption_limit /&/b's/O/rp/S//@/n_'l/I/m/I/t
absorption_pipette /&/b's/O/rp/S//@/n_p/aI/'p/E/t
absorption_screen /&/b's/O/rp/S//@/n_skr/i/n
absorption_spectrum /&/b's/O/rp/S//@/n_'sp/E/ktr/@/m
absorption_system /&/b's/O/rp/S//@/n_'s/I/st/@/m
absorptivity '/&/bs/O/rp't/I/v/I/t/i/
abstain /&/b'st/eI/n
abstain_from /&/b'st/eI/n_fr/@/m
abstemious /&/b'st/i/m/i//@/s
abstemiously /&/b'st/i/m/i//@/sl/i/
abstemiousness /&/b'st/i/m/i//@/sn/E/s
abstention /&/b'st/E/n/S//@/n
absterge /&/b'st/[@]/r/dZ/
abstergent /&/b'st/[@]/r/dZ//@/nt
abstersion /&/b'st/[@]/r/S//@/n
abstersive /&/b'st/[@]/rs/I/v
abstersiveness /&/b'st/[@]/rs/I/vn/E/s
abstinence '/&/bst/@/n/@/ns
abstinence_theory '/&/bst/@/n/@/ns_'/T//i//@/r/i/
abstinency '/&/bst/I/n/@/ns/i/
abstinent '/&/bst/I/n/@/nt
abstract/aj '/&/bstr/&/kt
abstract/n '/&/b,str/&/kt
abstract/v /&/b'str/&/kt
abstracted /&/b'str/&/kt/I/d
abstractedly /&/b'str/&/kt/I/dl/i/
abstractedness /&/b'str/&/kt/I/dn/E/s
abstraction /&/b'str/&/k/S//@/n
abstractionism /&/b'str/&/k/S//@/,n/I/z/@/m
abstractionist /&/b'str/&/k/S//@/n/I/st
abstractive /&/b'str/&/kt/I/v
abstractively /&/b'str/&/kt/I/vl/i/
abstractiveness /&/b'str/&/kt/I/vn/E/s
abstractly '/&/bstr/&/ktl/i/
abstractor /@/b'str/&/kt/@/r
abstriction /&/b'str/I/k/S//@/n
abstruse /&/b'str/u/s
abstrusely /&/b'str/u/sl/i/
abstruseness /&/b'str/u/sn/E/s
absurd /&/b's/[@]/rd
absurdity /&/b's/[@]/rd/I/t/i/
absurdly /&/b's/[@]/rdl/i/
absurdness /&/b's/[@]/rdn/E/s
absurd_idea /&/b's/[@]/rd_/aI/'d/i//@/
Absyrtus /&/b's/[@]/rt/@/s
Abu-Bakr /@/,b/u/'b/&/k/@/r
Abu-Bekr /@/,b/u/'b/E/k/@/r
Abucay '/A/b/u/k/aI/
Abukir ,/A/b/u/'k/i/r
Abulfeda ,/A/b/U/l'f/eI/d/@/
abulia /@/'b/j//u/l/i//@/
Abul_Abbas '/A/b/u/l_/A/'b/A/s
Abuna /@/'b/u/n/@/
abundance /@/'b/@/nd/@/ns
abundant /@/'b/@/nd/@/nt
abundantly /@/'b/@/nd/@/ntl/i/
abundant_year /@/'b/@/nd/@/nt_/j//i/r
abura /@/'b/j//U/r/@/
Abury '/eI/b/@/r/i/
abusage /@/'b/j//u/s/I//dZ/
abuse /@/'b/ju/z
abuse/n /@/'b/j//u/s
abuse/v /@/'b/j//u/z
abuser /@/'b/j//u/z/@/r
abusive /@/'b/j//u/s/I/v
abusively /@/'b/j//u/s/I/vl/i/
abusiveness /@/'b/j//u/s/I/vn/E/s
abut /@/'b/@/t
abutilon /@/'b/j//u/t,/-/l/A/n
abutment /@/'b/@/tm/@/nt
abutment_arch /@/'b/@/tm/@/nt_/A/r/tS/
abutment_pier /@/'b/@/tm/@/nt_p/i/r
abuttal /@/'b/@/t/-/l
abuttals /@/'b/@/t/-/lz
abutter /@/'b/@/t/@/r
abutting /@/'b/@/t/I//N/
abutting_joint /@/'b/@/t/I//N/_/dZ///Oi//nt
abut_upon /@/'b/@/t_/@/'p/A/n
abuzz /@/'b/@/z
Abu_Alam '/A/b/u/_'/A/l/A/m
Abu_Daoud '/A/b/u/_d/A/'/u/d
Abu_Dhabi '/A/b/u/_'d/A/b/i/
Abu_Egeila /A/b/u/_/E/'g/eI/l/A/
Abu_Iyad '/A/b/u/_'/i//j//&/d
Abu_Jihad '/&/b/u/_/dZ//i/'h/A/d
Abu_Nidal /A/'b/u/_n/i/'d/A/l
Abu_Rudeis '/A/b/u/_r/oU/_'d/eI/s
Abu_Simbel /@/'b/u/_'s/I/mb/E/l
abvolt /&/b'v/oU/lt
abwatt /&/b'w/A/t
aby /@/'b/aI/
Abydos /@/'b/aI/d/A/s
abye /@/'b/aI/
Abyla '/&/b/@/l/@/
abysm /@/'b/I/z/@/m
abysmal /@/'b/I/zm/@/l
abyss /@/'b/I/s
abyssal /@/'b/I/s/@/l
Abyssinia ,/&/b/I/'s/I/n/i//@/
ab_extra /A/b_'/E/kstR/A/
ab_initio /A/b_/I/'n/I/t/i/,/oU/
ab_intra /A/b_'/I/ntR/A/
ab_origine /A/b_/oU/'R/I/g/I/,n/E/
ab_ovo /A/b_'/oU/w/oU/
ac-globulin '/eI/'s/i/,gl/A/b/j//@/l/I/n
Acacallis /@/k/@/'k/&/l/I/s
acacia /@/'k/eI//S//@/
acacia_veld /@/'k/eI//S//@/_v/E/lt
academe ,/&/k/@/'d/i/m
academia '/&/k/@/'d/i/m/i//@/
academic ,/&/k/@/'d/E/m/I/k
academical ,/&/k/@/'d/E/m/I/k/@/l
academically ,/&/k/@/'d/E/m/I/k/@/ll/i/
academician /@/,k/&/d/@/'m/I//S//@/n
academicism ,/&/k/@/'d/E/m/I/,s/I/z/@/m
academic_dean ,/&/k/@/'d/E/m/I/k_d/i/n
academic_degree ,/&/k/@/'d/E/m/I/k_d/I/'gr/i/
